470, {'net_id': 'net_evo10_crossover70', 'acc1': 79.564, 'acc5': 94.46600001953125, 'flops': 466.437088, 'resolution': 224, 'width': [16, 16, 24, 40, 72, 112, 208, 216, 1792], 'kernel_size': [5, 3, 5, 3, 3, 3, 3], 'expand_ratio': [1, 5, 4, 4, 4, 6, 6], 'depth': [1, 3, 3, 3, 6, 6, 1]}

480, {'net_id': 'net_evo14_crossover40', 'acc1': 79.592, 'acc5': 94.45200000976563, 'flops': 478.284896, 'resolution': 224, 'width': [16, 16, 24, 40, 72, 112, 208, 216, 1792], 'kernel_size': [5, 3, 5, 5, 3, 3, 3], 'expand_ratio': [1, 5, 4, 4, 4, 6, 6], 'depth': [1, 3, 3, 4, 6, 6, 1]}

490, {'net_id': 'net_evo15_crossover55', 'acc1': 79.59800001953124, 'acc5': 94.41600001953125, 'flops': 492.91616, 'resolution': 224, 'width': [16, 16, 24, 40, 72, 128, 208, 216, 1792], 'kernel_size': [3, 3, 3, 5, 3, 3, 3], 'expand_ratio': [1, 4, 5, 4, 4, 6, 6], 'depth': [1, 3, 3, 3, 6, 6, 1]}

500, {'net_id': 'net_evo13_crossover62', 'acc1': 79.618, 'acc5': 94.58000002929687, 'flops': 503.13728, 'resolution': 256, 'width': [16, 16, 24, 40, 64, 112, 208, 216, 1792], 'kernel_size': [3, 3, 3, 3, 5, 3, 3], 'expand_ratio': [1, 4, 4, 4, 4, 6, 6], 'depth': [1, 3, 4, 3, 4, 5, 1]}

510, {'net_id': 'net_evo11_crossover63', 'acc1': 79.674, 'acc5': 94.54000000976562, 'flops': 508.803584, 'resolution': 256, 'width': [16, 16, 24, 40, 72, 112, 192, 216, 1792], 'kernel_size': [5, 3, 3, 5, 3, 3, 3], 'expand_ratio': [1, 4, 4, 4, 4, 6, 6], 'depth': [2, 3, 3, 3, 5, 5, 1]}

520, {'net_id': 'net_evo15_crossover49', 'acc1': 79.72, 'acc5': 94.61400002929688, 'flops': 523.46624, 'resolution': 256, 'width': [16, 16, 24, 32, 72, 112, 192, 216, 1792], 'kernel_size': [3, 3, 5, 5, 5, 3, 3], 'expand_ratio': [1, 4, 4, 4, 4, 6, 6], 'depth': [1, 3, 3, 3, 5, 6, 1]}

